#time magnitude filter
57.0 19.33 z
64.0 18.82 g
59.0 19.19 i
61.0 18.99 r
67.0 18.77 u
57.0 19.53 y
58.0 19.38 z
65.0 18.85 g
60.0 19.24 i
62.0 19.03 r
68.0 18.8 u
58.0 19.58 y
59.0 19.42 z
66.0 18.89 g
61.0 19.28 i
63.0 19.07 r
69.0 18.84 u
59.0 19.62 y
60.0 19.46 z
67.0 18.93 g
62.0 19.32 i
64.0 19.11 r
70.0 18.87 u
60.0 19.66 y
61.0 19.5 z
68.0 18.96 g
63.0 19.36 i
65.0 19.15 r
71.0 18.9 u
61.0 19.7 y
62.0 19.55 z
69.0 19.0 g
64.0 19.4 i
66.0 19.19 r
72.0 18.93 u
62.0 19.75 y
63.0 19.59 z
70.0 19.04 g
65.0 19.44 i
67.0 19.23 r
73.0 18.96 u
63.0 19.79 y
64.0 19.63 z
71.0 19.07 g
66.0 19.48 i
68.0 19.27 r
74.0 19.0 u
64.0 19.83 y
65.0 19.67 z
72.0 19.11 g
67.0 19.52 i
69.0 19.31 r
75.0 19.03 u
65.0 19.88 y
66.0 19.71 z
73.0 19.14 g
68.0 19.56 i
70.0 19.35 r
76.0 19.06 u
66.0 19.92 y
67.0 19.75 z
74.0 19.18 g
69.0 19.6 i
71.0 19.38 r
77.0 19.09 u
67.0 19.96 y
68.0 19.8 z
75.0 19.21 g
70.0 19.64 i
72.0 19.42 r
78.0 19.12 u
68.0 20.0 y
69.0 19.84 z
76.0 19.25 g
71.0 19.68 i
73.0 19.46 r
79.0 19.15 u
69.0 20.04 y
70.0 19.88 z
77.0 19.28 g
72.0 19.73 i
74.0 19.5 r
80.0 19.18 u
70.0 20.09 y
71.0 19.92 z
78.0 19.32 g
73.0 19.77 i
75.0 19.54 r
81.0 19.21 u
71.0 20.13 y
72.0 19.96 z
79.0 19.36 g
74.0 19.81 i
76.0 19.58 r
82.0 19.25 u
72.0 20.17 y
73.0 20.0 z
80.0 19.39 g
75.0 19.85 i
77.0 19.62 r
83.0 19.28 u
73.0 20.21 y
74.0 20.04 z
81.0 19.43 g
76.0 19.89 i
78.0 19.65 r
84.0 19.31 u
74.0 20.25 y
75.0 20.08 z
82.0 19.46 g
77.0 19.92 i
79.0 19.69 r
85.0 19.34 u
75.0 20.29 y
76.0 20.12 z
83.0 19.5 g
78.0 19.96 i
80.0 19.73 r
86.0 19.37 u
76.0 20.33 y
77.0 20.17 z
84.0 19.53 g
79.0 20.0 i
81.0 19.77 r
87.0 19.4 u
77.0 20.38 y
78.0 20.21 z
85.0 19.57 g
80.0 20.04 i
82.0 19.81 r
88.0 19.43 u
78.0 20.42 y
79.0 20.25 z
86.0 19.6 g
81.0 20.08 i
83.0 19.84 r
89.0 19.46 u
79.0 20.46 y
80.0 20.29 z
87.0 19.64 g
82.0 20.12 i
84.0 19.88 r
90.0 19.5 u
80.0 20.5 y
81.0 20.33 z
88.0 19.67 g
83.0 20.16 i
85.0 19.92 r
91.0 19.53 u
81.0 20.54 y
82.0 20.37 z
89.0 19.71 g
84.0 20.2 i
86.0 19.96 r
92.0 19.56 u
82.0 20.58 y
83.0 20.41 z
90.0 19.74 g
85.0 20.24 i
87.0 19.99 r
93.0 19.59 u
83.0 20.62 y
84.0 20.45 z
91.0 19.78 g
86.0 20.28 i
88.0 20.03 r
94.0 19.62 u
84.0 20.66 y
85.0 20.49 z
92.0 19.81 g
87.0 20.32 i
89.0 20.07 r
95.0 19.65 u
85.0 20.7 y
86.0 20.53 z
93.0 19.84 g
88.0 20.36 i
90.0 20.11 r
96.0 19.68 u
86.0 20.74 y
87.0 20.57 z
94.0 19.88 g
89.0 20.4 i
91.0 20.14 r
97.0 19.71 u
87.0 20.78 y
88.0 20.61 z
95.0 19.91 g
90.0 20.43 i
92.0 20.18 r
98.0 19.74 u
88.0 20.82 y
89.0 20.65 z
96.0 19.95 g
91.0 20.47 i
93.0 20.22 r
99.0 19.78 u
89.0 20.86 y
90.0 20.69 z
97.0 19.98 g
92.0 20.51 i
94.0 20.26 r
100.0 19.81 u
90.0 20.9 y
91.0 20.73 z
98.0 20.02 g
93.0 20.55 i
95.0 20.29 r
101.0 19.84 u
91.0 20.94 y
92.0 20.77 z
99.0 20.05 g
94.0 20.59 i
96.0 20.33 r
102.0 19.87 u
92.0 20.98 y
93.0 20.8 z
100.0 20.09 g
95.0 20.63 i
97.0 20.37 r
103.0 19.9 u
93.0 21.02 y
94.0 20.84 z
101.0 20.12 g
96.0 20.66 i
98.0 20.4 r
104.0 19.93 u
94.0 21.06 y
95.0 20.88 z
102.0 20.15 g
97.0 20.7 i
99.0 20.44 r
105.0 19.96 u
95.0 21.1 y
96.0 20.92 z
103.0 20.19 g
98.0 20.74 i
100.0 20.47 r
106.0 19.99 u
96.0 21.14 y
97.0 20.96 z
104.0 20.22 g
99.0 20.78 i
101.0 20.51 r
107.0 20.02 u
97.0 21.18 y
98.0 21.0 z
105.0 20.25 g
100.0 20.81 i
102.0 20.55 r
108.0 20.05 u
98.0 21.22 y
99.0 21.03 z
106.0 20.29 g
101.0 20.85 i
103.0 20.58 r
109.0 20.08 u
99.0 21.25 y
100.0 21.07 z
107.0 20.32 g
102.0 20.89 i
104.0 20.62 r
110.0 20.11 u
100.0 21.29 y
101.0 21.11 z
108.0 20.35 g
103.0 20.92 i
105.0 20.65 r
111.0 20.14 u
101.0 21.33 y
102.0 21.15 z
109.0 20.39 g
104.0 20.96 i
106.0 20.69 r
112.0 20.17 u
102.0 21.37 y
103.0 21.18 z
110.0 20.42 g
105.0 21.0 i
107.0 20.72 r
113.0 20.2 u
103.0 21.4 y
104.0 21.22 z
111.0 20.45 g
106.0 21.03 i
108.0 20.76 r
114.0 20.23 u
104.0 21.44 y
105.0 21.26 z
112.0 20.48 g
107.0 21.07 i
109.0 20.79 r
115.0 20.26 u
105.0 21.48 y
106.0 21.29 z
113.0 20.52 g
108.0 21.1 i
110.0 20.83 r
116.0 20.29 u
106.0 21.51 y
