#time magnitude filter
101.0 19.49 i
101.0 19.32 r
102.0 19.17 u
101.0 19.77 y
101.0 19.63 z
103.0 19.22 g
102.0 19.51 i
102.0 19.34 r
103.0 19.19 u
102.0 19.79 y
102.0 19.65 z
104.0 19.24 g
103.0 19.53 i
103.0 19.36 r
104.0 19.21 u
103.0 19.81 y
103.0 19.67 z
105.0 19.26 g
104.0 19.55 i
104.0 19.38 r
105.0 19.23 u
104.0 19.83 y
104.0 19.7 z
106.0 19.28 g
105.0 19.57 i
105.0 19.4 r
106.0 19.25 u
105.0 19.85 y
105.0 19.72 z
107.0 19.3 g
106.0 19.6 i
106.0 19.42 r
107.0 19.27 u
106.0 19.87 y
106.0 19.74 z
108.0 19.32 g
107.0 19.62 i
107.0 19.45 r
108.0 19.29 u
107.0 19.9 y
107.0 19.76 z
109.0 19.34 g
108.0 19.64 i
108.0 19.47 r
109.0 19.31 u
108.0 19.92 y
108.0 19.78 z
110.0 19.36 g
109.0 19.66 i
109.0 19.49 r
110.0 19.33 u
109.0 19.94 y
109.0 19.8 z
111.0 19.38 g
110.0 19.68 i
110.0 19.51 r
111.0 19.35 u
110.0 19.96 y
110.0 19.82 z
112.0 19.4 g
111.0 19.7 i
111.0 19.53 r
112.0 19.37 u
111.0 19.98 y
111.0 19.84 z
113.0 19.42 g
112.0 19.72 i
112.0 19.55 r
113.0 19.39 u
112.0 20.0 y
112.0 19.86 z
114.0 19.44 g
113.0 19.74 i
113.0 19.57 r
114.0 19.41 u
113.0 20.02 y
113.0 19.88 z
115.0 19.46 g
114.0 19.76 i
114.0 19.59 r
115.0 19.43 u
114.0 20.04 y
114.0 19.9 z
116.0 19.48 g
115.0 19.78 i
115.0 19.61 r
116.0 19.44 u
115.0 20.06 y
115.0 19.92 z
117.0 19.5 g
116.0 19.8 i
116.0 19.62 r
117.0 19.46 u
116.0 20.08 y
116.0 19.94 z
118.0 19.52 g
117.0 19.82 i
117.0 19.64 r
118.0 19.48 u
117.0 20.1 y
117.0 19.96 z
119.0 19.54 g
118.0 19.84 i
118.0 19.66 r
119.0 19.5 u
118.0 20.12 y
118.0 19.98 z
120.0 19.55 g
119.0 19.85 i
119.0 19.68 r
120.0 19.52 u
119.0 20.14 y
119.0 20.0 z
121.0 19.57 g
120.0 19.87 i
120.0 19.7 r
121.0 19.53 u
120.0 20.16 y
120.0 20.02 z
122.0 19.59 g
121.0 19.89 i
121.0 19.72 r
122.0 19.55 u
121.0 20.17 y
121.0 20.04 z
123.0 19.61 g
122.0 19.91 i
122.0 19.74 r
123.0 19.57 u
122.0 20.19 y
122.0 20.06 z
124.0 19.63 g
123.0 19.93 i
123.0 19.76 r
124.0 19.59 u
123.0 20.21 y
123.0 20.07 z
125.0 19.64 g
124.0 19.95 i
124.0 19.77 r
125.0 19.6 u
124.0 20.23 y
124.0 20.09 z
126.0 19.66 g
125.0 19.97 i
125.0 19.79 r
126.0 19.62 u
125.0 20.25 y
125.0 20.11 z
127.0 19.68 g
126.0 19.98 i
126.0 19.81 r
127.0 19.64 u
126.0 20.27 y
126.0 20.13 z
128.0 19.7 g
127.0 20.0 i
127.0 19.83 r
128.0 19.66 u
127.0 20.29 y
127.0 20.15 z
129.0 19.71 g
128.0 20.02 i
128.0 19.85 r
129.0 19.67 u
128.0 20.3 y
128.0 20.17 z
130.0 19.73 g
129.0 20.04 i
129.0 19.86 r
130.0 19.69 u
129.0 20.32 y
129.0 20.18 z
131.0 19.75 g
130.0 20.06 i
130.0 19.88 r
131.0 19.71 u
130.0 20.34 y
130.0 20.2 z
132.0 19.77 g
131.0 20.07 i
131.0 19.9 r
132.0 19.72 u
131.0 20.36 y
131.0 20.22 z
133.0 19.78 g
132.0 20.09 i
132.0 19.92 r
133.0 19.74 u
132.0 20.38 y
132.0 20.24 z
134.0 19.8 g
133.0 20.11 i
133.0 19.93 r
134.0 19.76 u
133.0 20.39 y
133.0 20.26 z
135.0 19.82 g
134.0 20.13 i
134.0 19.95 r
135.0 19.77 u
134.0 20.41 y
134.0 20.27 z
136.0 19.83 g
135.0 20.14 i
135.0 19.97 r
136.0 19.79 u
135.0 20.43 y
135.0 20.29 z
137.0 19.85 g
136.0 20.16 i
136.0 19.98 r
137.0 19.81 u
136.0 20.45 y
136.0 20.31 z
138.0 19.87 g
137.0 20.18 i
137.0 20.0 r
138.0 19.82 u
137.0 20.46 y
137.0 20.32 z
139.0 19.88 g
138.0 20.2 i
138.0 20.02 r
139.0 19.84 u
138.0 20.48 y
138.0 20.34 z
140.0 19.9 g
139.0 20.21 i
139.0 20.03 r
140.0 19.85 u
139.0 20.5 y
139.0 20.36 z
