#time magnitude filter
113.0 23.04 y
113.0 22.89 z
114.0 22.27 g
114.0 22.73 i
114.0 22.51 r
114.0 22.08 u
114.0 23.06 y
114.0 22.91 z
115.0 22.29 g
115.0 22.75 i
115.0 22.52 r
115.0 22.1 u
115.0 23.08 y
115.0 22.93 z
116.0 22.31 g
116.0 22.77 i
116.0 22.54 r
116.0 22.11 u
116.0 23.09 y
116.0 22.95 z
117.0 22.33 g
117.0 22.79 i
117.0 22.56 r
117.0 22.13 u
117.0 23.11 y
117.0 22.97 z
118.0 22.34 g
118.0 22.81 i
118.0 22.58 r
118.0 22.15 u
118.0 23.13 y
118.0 22.99 z
119.0 22.36 g
119.0 22.82 i
119.0 22.6 r
119.0 22.16 u
119.0 23.15 y
119.0 23.0 z
120.0 22.38 g
120.0 22.84 i
120.0 22.61 r
120.0 22.18 u
120.0 23.17 y
120.0 23.02 z
121.0 22.4 g
121.0 22.86 i
121.0 22.63 r
121.0 22.2 u
121.0 23.19 y
121.0 23.04 z
122.0 22.41 g
122.0 22.88 i
122.0 22.65 r
122.0 22.21 u
122.0 23.2 y
122.0 23.06 z
123.0 22.43 g
123.0 22.9 i
123.0 22.67 r
123.0 22.23 u
123.0 23.22 y
123.0 23.08 z
124.0 22.45 g
124.0 22.91 i
124.0 22.68 r
124.0 22.25 u
124.0 23.24 y
124.0 23.09 z
125.0 22.47 g
125.0 22.93 i
125.0 22.7 r
125.0 22.26 u
125.0 23.26 y
125.0 23.11 z
126.0 22.48 g
126.0 22.95 i
126.0 22.72 r
126.0 22.28 u
126.0 23.28 y
126.0 23.13 z
127.0 22.5 g
127.0 22.97 i
127.0 22.74 r
127.0 22.3 u
127.0 23.29 y
127.0 23.15 z
128.0 22.52 g
128.0 22.98 i
128.0 22.75 r
128.0 22.31 u
128.0 23.31 y
128.0 23.17 z
129.0 22.53 g
129.0 23.0 i
129.0 22.77 r
129.0 22.33 u
129.0 23.33 y
129.0 23.18 z
130.0 22.55 g
130.0 23.02 i
130.0 22.79 r
130.0 22.34 u
130.0 23.35 y
130.0 23.2 z
131.0 22.57 g
131.0 23.04 i
131.0 22.8 r
131.0 22.36 u
131.0 23.36 y
131.0 23.22 z
132.0 22.58 g
132.0 23.05 i
132.0 22.82 r
132.0 22.38 u
132.0 23.38 y
132.0 23.23 z
133.0 22.6 g
133.0 23.07 i
133.0 22.84 r
133.0 22.39 u
133.0 23.4 y
133.0 23.25 z
134.0 22.61 g
134.0 23.09 i
134.0 22.85 r
134.0 22.41 u
134.0 23.41 y
134.0 23.27 z
135.0 22.63 g
135.0 23.1 i
135.0 22.87 r
135.0 22.42 u
135.0 23.43 y
135.0 23.29 z
136.0 22.65 g
136.0 23.12 i
136.0 22.89 r
136.0 22.44 u
136.0 23.45 y
136.0 23.3 z
137.0 22.66 g
137.0 23.14 i
137.0 22.9 r
137.0 22.45 u
137.0 23.47 y
137.0 23.32 z
138.0 22.68 g
138.0 23.15 i
138.0 22.92 r
138.0 22.47 u
138.0 23.48 y
138.0 23.34 z
139.0 22.69 g
139.0 23.17 i
139.0 22.94 r
139.0 22.49 u
139.0 23.5 y
139.0 23.35 z
140.0 22.71 g
140.0 23.19 i
140.0 22.95 r
140.0 22.5 u
140.0 23.52 y
140.0 23.37 z
141.0 22.73 g
141.0 23.2 i
141.0 22.97 r
141.0 22.52 u
141.0 23.53 y
141.0 23.39 z
142.0 22.74 g
142.0 23.22 i
142.0 22.98 r
142.0 22.53 u
142.0 23.55 y
142.0 23.4 z
143.0 22.76 g
143.0 23.23 i
143.0 23.0 r
143.0 22.55 u
143.0 23.56 y
143.0 23.42 z
144.0 22.77 g
144.0 23.25 i
144.0 23.02 r
144.0 22.56 u
144.0 23.58 y
144.0 23.43 z
145.0 22.79 g
145.0 23.27 i
145.0 23.03 r
145.0 22.58 u
145.0 23.6 y
145.0 23.45 z
146.0 22.8 g
146.0 23.28 i
146.0 23.05 r
146.0 22.59 u
146.0 23.61 y
146.0 23.47 z
147.0 22.82 g
147.0 23.3 i
147.0 23.06 r
147.0 22.61 u
147.0 23.63 y
147.0 23.48 z
148.0 22.83 g
148.0 23.31 i
148.0 23.08 r
148.0 22.62 u
148.0 23.65 y
148.0 23.5 z
149.0 22.85 g
149.0 23.33 i
149.0 23.1 r
149.0 22.64 u
149.0 23.66 y
149.0 23.51 z
150.0 22.87 g
150.0 23.35 i
150.0 23.11 r
150.0 22.65 u
150.0 23.68 y
150.0 23.53 z
151.0 22.88 g
151.0 23.36 i
151.0 23.13 r
151.0 22.67 u
151.0 23.69 y
151.0 23.55 z
152.0 22.9 g
152.0 23.38 i
152.0 23.14 r
152.0 22.68 u
152.0 23.71 y
152.0 23.56 z
153.0 22.91 g
153.0 23.39 i
153.0 23.16 r
153.0 22.69 u
153.0 23.73 y
153.0 23.58 z
154.0 22.93 g
154.0 23.41 i
154.0 23.17 r
154.0 22.71 u
154.0 23.74 y
154.0 23.59 z
155.0 22.94 g
155.0 23.42 i
155.0 23.19 r
155.0 22.72 u
155.0 23.76 y
155.0 23.61 z
156.0 22.96 g
156.0 23.44 i
156.0 23.2 r
156.0 22.74 u
156.0 23.77 y
156.0 23.62 z
157.0 22.97 g
157.0 23.45 i
157.0 23.22 r
157.0 22.75 u
157.0 23.79 y
157.0 23.64 z
158.0 22.98 g
158.0 23.47 i
158.0 23.23 r
158.0 22.77 u
158.0 23.8 y
158.0 23.66 z
159.0 23.0 g
159.0 23.49 i
159.0 23.25 r
159.0 22.78 u
159.0 23.82 y
159.0 23.67 z
160.0 23.01 g
160.0 23.5 i
160.0 23.26 r
160.0 22.8 u
160.0 23.83 y
160.0 23.69 z
161.0 23.03 g
161.0 23.52 i
161.0 23.28 r
161.0 22.81 u
161.0 23.85 y
161.0 23.7 z
162.0 23.04 g
162.0 23.53 i
162.0 23.29 r
162.0 22.82 u
162.0 23.86 y
162.0 23.72 z
163.0 23.06 g
163.0 23.55 i
163.0 23.31 r
163.0 22.84 u
163.0 23.88 y
163.0 23.73 z
164.0 23.07 g
164.0 23.56 i
164.0 23.32 r
164.0 22.85 u
164.0 23.89 y
164.0 23.75 z
165.0 23.09 g
165.0 23.57 i
165.0 23.34 r
165.0 22.87 u
165.0 23.91 y
165.0 23.76 z
166.0 23.1 g
166.0 23.59 i
166.0 23.35 r
166.0 22.88 u
166.0 23.92 y
166.0 23.78 z
167.0 23.11 g
167.0 23.6 i
167.0 23.37 r
167.0 22.89 u
167.0 23.94 y
167.0 23.79 z
168.0 23.13 g
168.0 23.62 i
168.0 23.38 r
168.0 22.91 u
168.0 23.95 y
168.0 23.81 z
169.0 23.14 g
169.0 23.63 i
169.0 23.39 r
169.0 22.92 u
169.0 23.97 y
169.0 23.82 z
170.0 23.16 g
170.0 23.65 i
170.0 23.41 r
170.0 22.93 u
170.0 23.98 y
170.0 23.83 z
171.0 23.17 g
171.0 23.66 i
171.0 23.42 r
171.0 22.95 u
171.0 24.0 y
171.0 23.85 z
172.0 23.18 g
172.0 23.68 i
172.0 23.44 r
172.0 22.96 u
172.0 24.01 y
172.0 23.86 z
173.0 23.2 g
173.0 23.69 i
173.0 23.45 r
173.0 22.98 u
173.0 24.03 y
173.0 23.88 z
174.0 23.21 g
174.0 23.71 i
174.0 23.47 r
174.0 22.99 u
174.0 24.04 y
174.0 23.89 z
175.0 23.23 g
175.0 23.72 i
175.0 23.48 r
175.0 23.0 u
175.0 24.06 y
175.0 23.91 z
176.0 23.24 g
176.0 23.73 i
176.0 23.49 r
176.0 23.02 u
176.0 24.07 y
176.0 23.92 z
177.0 23.25 g
177.0 23.75 i
177.0 23.51 r
177.0 23.03 u
177.0 24.08 y
177.0 23.94 z
178.0 23.27 g
178.0 23.76 i
178.0 23.52 r
178.0 23.04 u
178.0 24.1 y
178.0 23.95 z
179.0 23.28 g
179.0 23.78 i
179.0 23.54 r
179.0 23.06 u
179.0 24.11 y
179.0 23.96 z
180.0 23.29 g
180.0 23.79 i
180.0 23.55 r
180.0 23.07 u
180.0 24.13 y
180.0 23.98 z
181.0 23.31 g
181.0 23.8 i
181.0 23.56 r
181.0 23.08 u
181.0 24.14 y
181.0 23.99 z
182.0 23.32 g
182.0 23.82 i
182.0 23.58 r
182.0 23.09 u
182.0 24.15 y
182.0 24.01 z
183.0 23.33 g
183.0 23.83 i
183.0 23.59 r
183.0 23.11 u
183.0 24.17 y
183.0 24.02 z
184.0 23.35 g
184.0 23.84 i
184.0 23.6 r
184.0 23.12 u
184.0 24.18 y
184.0 24.03 z
185.0 23.36 g
185.0 23.86 i
185.0 23.62 r
185.0 23.13 u
185.0 24.2 y
185.0 24.05 z
186.0 23.37 g
186.0 23.87 i
186.0 23.63 r
186.0 23.15 u
186.0 24.21 y
186.0 24.06 z
187.0 23.39 g
187.0 23.89 i
187.0 23.64 r
187.0 23.16 u
187.0 24.22 y
187.0 24.07 z
188.0 23.4 g
188.0 23.9 i
188.0 23.66 r
188.0 23.17 u
188.0 24.24 y
188.0 24.09 z
189.0 23.41 g
